c1,c2,c3,c4,c5,c6,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,b1,b2,b3,b4,posture
66,108,96,63,88,73,0,0,6,40,52,49,58,47,40,43,54,60,47,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
68,109,96,64,89,72,0,0,6,40,52,49,57,46,41,43,52,56,46,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
69,109,96,64,88,70,0,0,7,40,53,50,57,47,41,43,53,56,45,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,109,96,63,87,68,0,0,10,42,53,50,57,47,41,44,53,56,45,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,106,94,63,86,66,0,1,13,42,53,49,57,46,42,46,56,57,45,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,106,92,63,87,66,0,3,15,44,53,50,59,47,43,47,57,60,46,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
66,105,92,65,88,70,0,4,14,47,58,56,66,53,45,50,60,63,49,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,102,90,64,87,67,0,6,14,49,61,63,67,54,45,49,60,65,52,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
65,103,92,63,86,66,0,7,16,51,62,59,64,51,43,46,56,59,49,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,110,98,66,88,69,0,2,13,44,54,48,54,43,39,39,46,45,41,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
57,66,54,49,69,59,0,7,19,37,49,53,66,66,42,60,56,54,37,24,11,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
57,66,53,49,69,59,0,7,18,36,48,52,66,66,42,60,55,54,37,24,11,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
57,66,53,49,68,59,0,6,18,36,47,52,66,66,42,60,56,54,37,24,11,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
57,65,53,48,69,59,0,6,17,36,48,52,66,66,41,60,56,54,37,24,11,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
56,64,52,47,68,58,0,6,16,35,46,51,66,66,42,60,56,54,37,24,11,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
56,63,50,46,66,58,0,4,16,34,45,51,67,66,42,61,56,54,38,23,12,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
56,63,50,46,67,58,0,4,16,34,46,50,67,67,41,61,56,54,37,24,12,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
56,63,51,45,66,58,0,5,16,34,46,50,66,66,42,61,56,54,37,23,12,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
56,63,50,45,66,57,0,5,16,34,45,50,66,66,41,60,55,53,36,23,12,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
56,62,49,44,65,56,0,5,16,34,45,50,66,66,41,60,55,53,36,23,11,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
56,62,49,43,64,55,0,5,16,34,46,50,66,66,42,61,56,53,37,23,11,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
55,61,49,43,63,56,0,5,16,34,46,50,66,66,42,61,56,53,37,23,12,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
55,61,49,43,63,56,0,5,16,34,46,50,66,66,41,61,56,53,37,23,12,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
55,61,49,43,64,56,0,6,16,34,46,50,66,66,41,60,56,53,36,23,12,0,0,0,0,0,0,0,0,0,0,98,94,0,0,3
54,61,48,43,64,56,0,6,16,34,46,51,66,66,42,61,56,54,37,23,12,0,0,0,0,0,0,0,0,0,0,98,95,0,0,3
54,61,48,43,64,56,0,5,16,34,46,51,66,66,42,61,56,54,36,23,12,0,0,0,0,0,0,0,0,0,0,98,95,0,0,3
54,61,48,43,64,56,0,5,16,34,46,51,66,66,42,61,56,54,37,23,11,0,0,0,0,0,0,0,0,0,0,98,95,0,0,3
55,62,48,43,63,56,0,5,17,34,46,52,66,66,42,61,56,54,37,23,11,0,0,0,0,0,0,0,0,0,0,98,95,0,0,3
55,62,50,43,63,56,0,6,17,35,47,52,67,66,42,61,56,54,37,24,11,0,0,0,0,0,0,0,0,0,0,98,95,0,0,3
55,63,50,43,63,55,0,6,17,35,47,52,67,66,42,61,56,54,37,23,12,0,0,0,0,0,0,0,0,0,0,98,95,0,0,3
78,91,37,0,0,0,18,33,40,48,44,33,34,0,12,34,46,48,52,23,9,0,24,43,36,42,58,62,60,36,15,99,97,96,96,4
78,91,37,0,0,0,18,32,40,47,44,33,33,0,13,34,46,48,52,24,10,0,24,44,36,42,58,62,60,36,15,99,97,96,96,4
78,91,37,0,0,0,18,33,40,47,44,33,33,0,12,34,46,48,52,23,10,0,23,44,36,42,58,62,60,36,15,99,97,96,96,4
79,91,36,0,0,0,17,32,40,48,44,33,34,0,12,34,46,48,52,24,10,0,24,44,36,42,58,62,60,35,14,99,97,96,96,4
79,91,34,0,0,0,16,33,40,47,43,33,33,0,12,34,46,48,51,23,10,0,23,44,36,41,57,61,59,35,14,99,97,96,96,4
79,91,34,0,0,0,16,33,40,47,44,33,33,0,12,34,45,47,50,24,11,0,23,43,36,41,57,61,59,35,14,99,97,96,96,4
